Business Name	Phone
HAZENJACHT KAROO LIFESTYLE	72 666 5508
Eagle's Rest Guesthouse	72 670 6578
Tarentaalrand Guesthouse	72 672 2361
Karoo Retreat	72 777 7225
Comfy Corner Guesthouse	72 8767 442
Cook’s Comfort	72 894 7857
Let and Stay Student Accommodation	72 990 1805
Sleep At 84	73 004 6204
The Old Lady	73 017 3309
Bruma Guest House	73 130 5634
Makgabeng Farm Lodge	73 190 9971
Rand Self-catering Accommodation	73 218 9660
Joy on Joyce Self Catering	73 224 9791
Royal Crown Guesthouse	73 270 4451
Kayamina Guesthouse	73 345 0168
Rosebella Guest House	73 359 6041
Graskop Harrie's Cottage	73 386 8509
Arnot Guesthouse Accommodation	73 400 4099
Stesh Maboneng Hotel-style	73 485 2940
Emmaric Lodge (pty) ltd	73 513 3311
Cheryl's Fortress	73 531 4195
Oppi Draai	73 895 1276
Design Creations	73 956 5647
Horse's Neck Guest Lodge	73 993 6115
112 on Kloof Guesthouse	74 163 7275
Larner House BnB	74 177 3447
Breena BnB Guest House	74 198 2097
Inn-Finity Empire	74 529 7966
Lowveld Living Guesthouse	74 637 0067
Primrose Lodge	74 978 8551
Sabie Self Catering Apartments	74 991 7304
Apple Cottages	76 012 3023
Autumn Breeze Manor	76 089 8542
Soeterus Guest Farm	76 116 2068
Trengwainton	76 158 6722
Aloe-Garden Accommodation	76 182 3651
Kalaharihuis Guesthouse	76 182 7539
Big 5 Guest House	76 250 4950
Surval Boutique Olive Estate	76 256 3519
53 on Webber Guest House	76 350 1712
B & B Vierkleurhof	76 380 1441
Kruger Safari Africa	76 398 3648
Six Valk Avenue Guest House	76 401 6357
Kruger's Guest House	76 444 1060
Siesta Guest House	76 459 1310
Onderberg Holiday Resort	76 464 7010
Hot Pepper Travel	76 466 1963
Marion's guesthouse B&B	76 508 3343
Mihandzu Guest House	76 559 1813
Poolside	76 608 4632
Outeniqua Moon	76 629 2213
Christie's at 32 on Russell	76 657 7391
Conti-INN Guesthouse	76 664 7523
Nut Grove Boutique Hotel	76 697 4886
Mosikare Tours	76 863 5548
Oudtshoorn Township Tours and Accommodation	76 868 8676
Seeplaas Guesthouse	76 976 7316
Ink Conference Centre	78 076 4059
Thyme Square Guest House	78 131 6816
MASCOP SHUTTLES AND TOURS	78 289 1111
a Dam's view	78 334 4363
Comfort Palace Guesthouse Germiston	78 501 1403
The Duke of Bedford Inn	78 511 9689
Green Kalahari Guesthouse	78 524 9824
Heritage House Bed & Breakfast	78 538 0555
Mthandi Wokuhamba Lodge	78 555 7051
Noma Nini Lodge	78 564 3083
Mahlokota Bed & Breakfast	78 586 0387
DE BEDFORD Guest LODGE	78 680 9378
Aura Guest House	78 716 9811
Waiswa Guest House	78 777 7781
Lavida Guesthouse Joburg	78 849 0080
Karoo Refresh B&B	79 016 3328
Das Dunen	79 101 9025
Dot Travel	79 137 9925
AMANZI LODGE_GREYTOWN	79 288 3222
Oudtshoorn Homestay Accommodation	79 311 8714
FM Guesthouse	79 320 3052
Rudman Townhouses	79 329 2109
Maidenhead Country Lodge	79 462 9934
125 on Van Buuren Road Guest House	79 522 9975
Swallows Nest Guest House	79 525 7742
Twilight Inn	79 527 9263
Silver Plum BnB	79 561 5432
Marikal Guesthouse Upington	79 707 6170
Limpopo Lodge	79 864 1185
Julsie's Home	79 879 3158
Map's View Guesthouse	79 881 5558
The Symphony Guest house	79 994 6038
Witwatersrand Lodge	81 001 7915
Marvellous Maids	81 025 0839
Royal Stina Hotel-style	81 339 3300
Kruger Adventure Lodge	81 501 6526
Emangozi Retreats and Hideaways	81 571 2707
Rolters Guest House	81 702 0307
Shingalana Guest House	81 762 9569
Jacaranda Guesthouse	82 044 6120
The Browns' Guest Suites	82 055 2028
Old Oaks Bed & Breakfast and Coffee Shop	82 086 5907
"Valley View, Hogsback"	82 200 3473
Upington Manor Guest House	82 226 6580
A Pilgrim's Rest	82 304 7157
Outeniqua Travel Lodge	82 316 7720
BUKSIES RESORT	82 324 2566
Amour Le Fleur	82 327 7759
The Nicol Hotel & Apartments	82 332 2061
Versamelnes Guest Accommodation	82 335 6221
Die Ou Pastorie - De Hoop	82 337 0853
Werda Guesthouse	82 338 0934
Bryan Manor Guest House	82 338 8778
The Rock Guest House	82 338 9862
LTN LODGE	82 344 4049
The Palms Venue & Accommodation Cradock	82 349 2985
Lily Grace House	82 357 4638
Arquila Guesthouse Upington	82 368 1934
Nibelheim Self Catering Cottage - Hogsback	82 374 6583
Brickhaven Accommodation	82 374 8725
La Coscello Guest House	82 376 6856
Ribbokkloof Lodge: Vakansie Plaas	82 388 3247
Riverview B & B	82 393 8694
Luno Guest House	82 397 7305
Walton Manor	82 402 7005
Affordable overnight Polokwane	82 410 7325
Stiltevrede Gastehuis	82 411 0087
Lion's Head Lodge	82 417 7272
Raintree Guest House	82 424 5698
Nyota Guesthouse	82 427 5835
Windrush on Hogsback	82 432 9481
Tuscany Guest House	82 444 5423
Athanor-Hogsback Self Catering Cottages	82 444 7145
Bruma Glades One	82 446 9384
2B Happy	82 447 6811
Rustique Graskop	82 448 9028
Beausa Chalets	82 450 4977
Villa Borghesi	82 452 0489
Bonolo Guest House	82 459 8179
Chestnut Country Lodge	82 462 2740
Lost Trail	82 462 5548
Featherbed Lodge	82 467 7567
Uthando Backpackers Lodge	82 470 8755
Yellow House	82 480 3725
Nyanya Resort	82 482 8666
The Owl and Elephant Lodge	82 492 3665
Sabi River Guesthouse	82 493 6329
By-Die-Koppie Guesthouse	82 500 2252
Utopia Guest House	82 500 5096
Mari's Cottage	82 501 1400
Jewel of Jozi- BNB	82 515 1363
Pumbaa Wildlife Park And Accommodation	82 520 2456
165 Mount Pellan Residence	82 551 7585
ilanda Guest House	82 560 5073
Olive Tree B&B	82 561 4547
Mechell's Accommodation	82 562 2548
Eagle Creek Resorts Sabie	82 568 6148
Fish Eagles Self Catering	82 570 6564
Buff and Fellow	82 572 7095
The Ambers	82 574 2185
De Wawielhuis	82 578 6525
Ladismith Manor	82 579 3128
Lord Grey Guest House	82 579 3877
47 on Preston	82 591 1889
Alegre Self-Catering Accommodation	82 603 7381
Summerfields Rose Retreat & Spa	82 611 6956
Dome Home Self-Catering	82 615 8064
The old Butler House	82 629 5648
Forest View Guest House & Self Catering	82 644 2383
HP Twelve Accommodation	82 651 3611
Ten Stirling Bed and Breakfast	82 653 4623
Alimento Guest House	82 653 6399
Kattekwaad Accommodation	82 675 9765
Kwabhekizihambi	82 677 5660
Towerzicht Guest House	82 698 2407
The Artist's Cottage	82 710 5909
Sleepy Gecko Braai and party venue.	82 745 0434
At 29 Columba B&B or self catering	82 745 8314
Roc 'n Rope Adventures	82 753 3695
White River B&B (Bed and breakfast)	82 770 2161
The Rest Guest House	82 770 5883
Hartsklop Guest Farm	82 771 3732
El Roi Guest Lodge	82 774 9455
Akwamaryn B&B	82 777 2231
3 on Greger Accommodation	82 780 6611
Erica Lodge	82 781 3338
Sunshine Self Catering	82 781 4079
Twickenham Guest House	82 782 4628
Boondocks Mountain Lodge and Labyrinth	82 808 2733
BE MY GUEST Bed; Book & Breakfast	82 810 2141
VIKS BED AND BREAKFAST	82 810 6006
EL Shaddai Take aways and B&B	82 811 6225
Porcupine Ridge	82 818 0277
Abendruhe Guest House	82 819 3478
Oude Jansia Guest House	82 821 3231
Azalea Guesthouse	82 821 5580
De Nachtuilen Guesthouse	82 822 9350
Alucarni Guesthouse	82 824 4903
Natures Rest Lapa	82 825 3805
Baobab House	82 825 9792
Goodnight Guest Lodge	82 827 9281
Comfort on Cabot	82 850 6058
Sunny & Spacious Cottage	82 854 6437
Knip n Uiltjie Overnight accommodation	82 859 3944
House on Morninghill	82 870 9221
Maison Jacaranda	82 881 8277
57 Mark Street	82 882 8289
Simply Olive Self-Catering	82 885 9652
Bed & Breakfast on Melrose	82 888 2782
Amani Boutique Hotel and Conference Centre	82 893 6546
Gynettes Catering	82 896 1140
Pecanwood Manor	82 898 4720
Agterplaas B&B	082 902 5799
Klein Morgenster B&B	82 903 5819
Urban Einstein	82 905 5866
Fatties and Monies Guest House - Sabie	82 906 3474
Maple Grove	82 922 5988
Zarafa Villas	82 925 3643
Havana Nights	82 925 3967
Extraordinary Travel & Tours	82 926 2636
Blue Rain Bed & Breakfast	82 928 9340
28 On Andrew Bed & Breakfast	82 929 8055
Nyala Lodge	82 940 7508
Antiqua Guest House	82 945 4769
Rietfontein Ostrich Palace	82 971 474
B&B ON 8TH AVENUE	83 209 1559
Palm Haven Guest House	83 226 8041
Casa Calida Guesthouse 4 Ster	83 226 8979
Pakamisa Private Game Reserve	83 229 1811
Old Joe's Kaia	83 229 3751
Cottage in the Grove	83 229 6373
Le Bonheur Manor	83 235 1727
52 Bracelet	83 258 1894
Villa San Carlo	83 260 5024
Three Gables Guest House	83 264 2982
Tranquil Guest House	83 264 8285
Chives Cottage	83 271 4511
Bergliot Guest House	83 276 6530
Kingsview Cottages	83 280 3472
Fantail Chalets	83 286 1498
51 on York Lodge	83 287 5577
Hogrock Falls	83 293 6187
Old World Charm in the City	83 296 9801
Avo&Oak Guesthouse	83 298 4103
Avant Garde Lodge	83 301 9876
The Plover Bed & Breakfast	83 302 5568
Le Roux B&B	83 306 2494
African Executive Lodge	83 307 4290
Casa Milorca	83 311 7795
Charilo	83 321 8077
Koedoeskloof Country Lodge	83 327 9683
Pinehurst Place	83 376 1118
Tramonto Lodge	83 389 0277
27A on Angus	83 400 3371
Eagle's Nest	83 407 9931
Seven Palms - Tranquility on Dover	83 410 7747
Waverley House	83 415 0557
PoortCity	83 436-3083
Gig BB Cathcart	83 437 3798
Blessed Toes B&B / Self Catering	83 444 0798
Cherry Berry Guest House	83 444 3364
Misty Cottage	83 448 8567
Dublin Guest Lodge Sabie	83 449 6798
Gallivant's Guest House	83 453 8025
Arita's Rest	83 456 5966
Samadhi Hogsback Yoga Studio	83 458 3898
Riverside Guest Lodge	83 462 6103
Oppi-Oewer Bed and Breakfast	83 465 8246
Oriental B&B	83 471 0235
Mtunzini Budget Accommodation	83 478 1683
Böllinger Guest House	83 486 9956
Bollinger Guesthouse	83 486 9956
Di Valdi's	83 501 2099
Casa Tomar	83 506 9240
Dante's lounge/guesthouse	83 525 6537
Ilifu Self Catering Cottages in Hogsback	83 556 6962
B&B on Church	83 560 5716
TOURACO	83 568 8271
High Goonvrea	83 604 6660
Pillow & Fern	83 609 0116
John Jack Inn	83 625 6097
Protea Hotel The Winkler	83 626 9306
Lazy Gecko Accommodation	83 651 5111
SALEM GUESTHOUSE LYDENBURG	83 653 0782
Camdeboo Place.	83 654 1367
15 on Pinehurst	83 659-5922
21 on Klein Karoo	83 662 9463
Twenty Six on Nel Guest House	83 680 2299
Parkside Guesthouse	83 692 0803
De Oude Herberg	83 704 0218
Emmarentia guest house	83 757 1031
Elangeni Holiday Resort	83 793 3163
Golden Views.	83 864 2465
More-Inn Guest House In Boksburg South Africa Kempton Park Durban Pretoria Johannesburg Cape Town	83 926 8082
The Alchemist's Place	83 952 8411
Blue Swallow Chalets	83-607-1547
Cinematic Guest House	84 053 5727
Bishops Guest House	84 209 0389
Colibri Self Catering	84 337 6729
Cozi Corner Self-Catering Accomodation	84 409 6080
The Calitz	84 413 4489
Volmoed	84 444 4105
BestCamps.Co.Za	84 463 4663
Tranquility in Klein Karoo	84 487 4419
Little Forest Guesthouse	84 503 8979
Schoolings Guesthouse	84 512 4008
Vintage Restaurant	84 516 8306
Eldorado Private Collection	84 572 8031
236 On Riebeeck	84 582 3343
The Farmhouse Guesthouse	84 626 4580
Sabie Peak View	84 662 1216
Riverside Bungalows	84 775 8831
Cinzaco Dullstroom Accommodation	84 781 1926
"Southern Cross Beach House - stone’s throw from the beach, spectacular sea views"	84 816 3741
Hlala Nathi Accommodation	84 927 6486
