Category,Real Category,Business Name,Address,City,State,Postal Code,Country,Phone,Email,Website,Latitude,Longitude,Map Link,Details Link
"business","Business management consultant","Business ACTIONeering","3 Wilton Ave, Bryanston, Johannesburg, 2021","Johannesburg","Gauteng","","South Africa"," 0836800037","","","","","https://maps.google.com/?hl=en_US&cid=0x0:0xb542750fcb0485f1",""
"business","business","N/A","","","Gauteng","","South Africa"," 0731505169","hello@beinghuman.cx","https://www.beinghuman.cx/","","","https://maps.google.com/?hl=en_US&cid=0x0:0x7db853d570c43707",""
"business","Recruiter","Wood","Building 2, Silver Stream Business Park, 10 Muswell Rd S, Johannesburg, 2021","Johannesburg","Gauteng","","South Africa"," 0118407300","investor.relations@woodplc.com","http://www.woodplc.com/","","","https://maps.google.com/?hl=en_US&cid=0x0:0x84f8835e3e84b32d",""
"business","Financial planner","SPJB","Wedgefield Office Park, Block A, 17 Muswell Rd S, Bryanston, Sandton, 2021","Sandton","Gauteng","","South Africa"," 0823391422","","","","","https://maps.google.com/?hl=en_US&cid=0x0:0x9b9384176600b0ce",""
"business","Office space rental agency","2929 on Nicol","2929 Winnie Mandela Dr, Bryanston, Sandton, 2021","Sandton","Gauteng","","South Africa"," 0112913147","","https://burstone.com/property-portfolio/south-africa/2929-on-nicol","","","https://maps.google.com/?hl=en_US&cid=0x0:0x8dea028d7ca8ff08",""
"business","Business management consultant","Lidwala","2 Payne Road, Corner Main Office Park, Bryanston, Johannesburg, 2021","Johannesburg","Gauteng","","South Africa"," 0117935486","info@lidwala.com","http://www.lidwala.com/","","","https://maps.google.com/?hl=en_US&cid=0x0:0x395007c0c3dae2ad",""
"business","Corporate office","Pink Elephant South Africa","4th Floor 140 west st, sandown, Morningside, Sandton, 2031","Sandton","Gauteng","","South Africa"," 0116560020","info.africa@pinkelephant.co.za","https://pinkelephant.co.za/","","","https://maps.google.com/?hl=en_US&cid=0x0:0xa3001fda805528ce",""
"business","Business management consultant","Bain  Company","Tower 1, The MARC, 129 Rivonia Rd, Sandown, Sandton, 2196","Sandton","Gauteng","","South Africa"," 0110129100","bainafrica.marketing@bain.com","https://www.bain.com/offices/johannesburg/","","","https://maps.google.com/?hl=en_US&cid=0x0:0xedb1a0db0a7f0c9f",""
"business","Computer wholesaler","Acumen Software (Pty) Ltd","Sandown Mews, 88 Stella St, Sandown, Sandton, 2031","Sandton","Gauteng","","South Africa"," 0114678528","info@acumensoft.net","https://www.acumensoft.net/","","","https://maps.google.com/?hl=en_US&cid=0x0:0x8f722262798b0ae3",""
"business","business","N/A","","","Gauteng","","South Africa"," 0814596678","","","","","https://maps.google.com/?hl=en_US&cid=0x0:0xbec10fcee8347913",""
"business","Software company","HCL Technologies (PTY) Ltd.","4th Floor, Green Park Corner, 3 Lower Rd, Morningside, Sandton, 2196","Sandton","Gauteng","","South Africa"," 0110638500","","http://www.hcltech.com/","","","https://maps.google.com/?hl=en_US&cid=0x0:0x10cdda533606ae1d",""
"business","Marketing agency","Promise Brand Specialists / Promise Digital","10 Hobart Rd, Bryanston, Sandton, 2191","Sandton","Gauteng","","South Africa"," 0114632413","","http://www.promisegroup.co.za/","","","https://maps.google.com/?hl=en_US&cid=0x0:0xdf2faa8878a39025",""
"business","Website designer","TYCOON WAYS","205 Rivonia Rd, Morningside, Johannesburg, 2196","Johannesburg","Gauteng","","South Africa"," 0101410079","","","","","https://maps.google.com/?hl=en_US&cid=0x0:0x2d1a499b8ea9708a",""
"business","Business management consultant","Black Lite Group","88 Stella St, Sandown, Sandton, 2031","Sandton","Gauteng","","South Africa"," 0114477651","","http://www.blacklite.co.za/","","","https://maps.google.com/?hl=en_US&cid=0x0:0x4a7d01a54d62b2e",""
"business","Tax consultant","Foreign Company Setup South Africa","57 Sloane St, Bryanston, Sandton, 2191","Sandton","Gauteng","","South Africa"," 0114670810","","https://foreigncompany.co.za/","","","https://maps.google.com/?hl=en_US&cid=0x0:0xe1819acad5f367ae",""
"business","Business management consultant","CGRSA","West tower, 2nd floor, Suite 28 Nelson mandela square, Sandown, 2146","Sandton","Gauteng","","South Africa","","","https://cgr-sa.com/","","","https://maps.google.com/?hl=en_US&cid=0x0:0x918bac5e0f015225",""
"business","Life coach","Cycan (Pty) Ltd","121 Linden St, Sandown, Sandton, 2031","Sandton","Gauteng","","South Africa","","hello@cycan.co.za","https://www.cycan.co.za/","","","https://maps.google.com/?hl=en_US&cid=0x0:0xc12b4c80f6fa51ee",""
"business","Corporate office","Stonewedge Office Park","1 Wedgelink Rd, Bryanston, Johannesburg, 2031","Johannesburg","Gauteng","","South Africa"," 0116763000","","http://www.tourvest.co.za/","","","https://maps.google.com/?hl=en_US&cid=0x0:0x8dbd56a700c10e8d",""
"business","Business management consultant","Business Intelligent","20 Georgian Cres E, Bryanston, 2191","Bryanston","Gauteng","","South Africa"," 0842444129","","http://www.businessintelligent.co.za/","","","https://maps.google.com/?hl=en_US&cid=0x0:0xee952d34b0c411c1",""
"business","Investment service","Zamlim Investments","Green Light Hub, 12 Charles Cres, Strathavon, Sandton, 2031","Sandton","Gauteng","","South Africa"," 0110539216","","http://zamlim.com/","","","https://maps.google.com/?hl=en_US&cid=0x0:0xbe699df2958ff999",""
"business","Consultant","Oak Business Solutions (Pty) Ltd","1 Wedgewood Link Rd, Bryanston, Sandton, 2191","Sandton","Gauteng","","South Africa"," 0101406642","info@oakbiz.co.za","https://www.oakbiz.co.za/","","","https://maps.google.com/?hl=en_US&cid=0x0:0x72d5e52c98f7479f",""
"business","Business management consultant","Axiomatic Consultants","West Block, Sandton Mews, 88 Stella St, Sandton","Sandton","Gauteng","","South Africa"," 0113051940","brett@axiomatic.co.za","http://www.axiomatic.co.za/","","","https://maps.google.com/?hl=en_US&cid=0x0:0xa20cfd1541a7762d",""
"business","Office space rental agency","The Business Exchange, 140 West Street, Sandton","140 West St, Johannesburg, Sandton, 2196","Sandton","Gauteng","","South Africa"," 0827676315","","https://www.tbeafrica.com/location/150-rivonia-road-morningside/?utm_source>>u003dGMBlisting>>u0026utm_medium>>u003dorganic","","","https://maps.google.com/?hl=en_US&cid=0x0:0x75bdc4a11daa601a",""
"business","Business management consultant","GBSH Consult Group","140 West St, Sandown, Sandton, 2196","Sandton","Gauteng","","South Africa"," 0115899028","8c4075d5481d476e945486754f783364@sentry.io","https://www.gbshconsult.com/","","","https://maps.google.com/?hl=en_US&cid=0x0:0x65cd3edb23c23c6",""
"business","business","2031","Sandton","Sandton","Gauteng","","South Africa","","","","","","https://maps.google.com/?hl=en_US&cid=0x0:0x8170a5c534458ac6",""
"business","Office space rental agency","Parc Nicol","3001 Winnie Mandela Dr, Bryanston, Johannesburg, 2031","Johannesburg","Gauteng","","South Africa","","","https://www.swindon.co.za/agent/cassandra-boshoff","","","https://maps.google.com/?hl=en_US&cid=0x0:0xb9f6787dd5c37b5e",""
"business","Office space rental agency","Cube Workspace Bryanston","1 Wedgewood Link Rd, Bryanston, Johannesburg, 2191","Johannesburg","Gauteng","","South Africa"," 0861112823","info@cubeworkspace.co.za","http://cubeworkspace.co.za/","","","https://maps.google.com/?hl=en_US&cid=0x0:0x481368131dd81341",""
"business","Aviation consultant","Autoease Group","Building 5, Parc Nicol, Sigma Africa, 3001 Winnie Mandela Dr, Bryanston, JOHANNESBURG, 2031","JOHANNESBURG","Gauteng","","South Africa"," 0834157367","acplzim@outlook.com","https://autoeasegroup.wixsite.com/autoeasegroup","","","https://maps.google.com/?hl=en_US&cid=0x0:0x853259566193c970",""
"business","Business management consultant","Innovation Boutique","Hobart Road, Bryanston, Johannesburg, 2191","Johannesburg","Gauteng","","South Africa"," 0105911251","","","","","https://maps.google.com/?hl=en_US&cid=0x0:0xf27ec95161913c6c",""
"business","Business management consultant","Total Business Consulting","39A Bruton Rd, Bryanston, Sandton, 2191","Sandton","Gauteng","","South Africa"," 0114634549","info@totalbusinessconsulting.co.za","http://totalbusinessconsulting.co.za/","","","https://maps.google.com/?hl=en_US&cid=0x0:0xdcee173d86cb0e7",""
"business","Doctor","152 Bryanston Drive Office Park","152 Bryanston Dr, Bryanston, Sandton, 2191","Sandton","Gauteng","","South Africa"," 0110258168","","","","","https://maps.google.com/?hl=en_US&cid=0x0:0x8d7b285bbd1b2be0",""
"business","business","N/A","","","Gauteng","","South Africa"," 0731505169","hello@beinghuman.cx","https://www.beinghuman.cx/","","","https://maps.google.com/?hl=en_US&cid=0x0:0x7db853d570c43707",""
"business","Advertising agency","OOB Business","Gaunt Ave, Bryanston, Sandton, 2191","Sandton","Gauteng","","South Africa","","administrator@oob.busi","http://oob.business/","","","https://maps.google.com/?hl=en_US&cid=0x0:0xd597693212a5fd92",""
"business","Office space rental agency","Nicol Main Office Park Building A","2 Bruton Rd, Bryanston, Sandton, 2191","Sandton","Gauteng","","South Africa"," 0112913147","","","","","https://maps.google.com/?hl=en_US&cid=0x0:0xbf16112e797b91d5",""
"business","Business park","Regus - Johannesburg Bryanston The Campus","Ground Floor, The Campus, Twickenham Building, Cnr Main , Sloane St, Bryanston, Johannesburg, 2021","Johannesburg","Gauteng","","South Africa"," 0115756000","","https://www.regus.com/en-gb/south-africa/johannesburg/bryanston-the-campus-638?utm_source>>u003dyext_places_gmb>>u0026utm_medium>>u003dplaces>>u0026utm_campaign>>u003dyext_traffic>>u0026utm_content>>u003d638","","","https://maps.google.com/?hl=en_US&cid=0x0:0x82a7f241078ffe5e",""
"business","Business management consultant","Business Intelligent","20 Georgian Cres E, Bryanston, 2191","Bryanston","Gauteng","","South Africa"," 0842444129","","http://www.businessintelligent.co.za/","","","https://maps.google.com/?hl=en_US&cid=0x0:0xee952d34b0c411c1",""
"business","Beverage distributor","Designer Water Bryanston","20 Georgian Cres E, Bryanston, Johannesburg, 2191","Johannesburg","Gauteng","","South Africa"," 0726456222","","","","","https://maps.google.com/?hl=en_US&cid=0x0:0xbc4fea0e42ad80bc",""
"business","Office space rental agency","Cube Workspace Bryanston","1 Wedgewood Link Rd, Bryanston, Johannesburg, 2191","Johannesburg","Gauteng","","South Africa"," 0861112823","info@cubeworkspace.co.za","http://cubeworkspace.co.za/","","","https://maps.google.com/?hl=en_US&cid=0x0:0x481368131dd81341",""
"business","business","N/A","","","Gauteng","","South Africa"," 0731505169","hello@beinghuman.cx","https://www.beinghuman.cx/","","","https://maps.google.com/?hl=en_US&cid=0x0:0x7db853d570c43707",""
"business","Business park","Regus - Johannesburg Bryanston The Campus","Ground Floor, The Campus, Twickenham Building, Cnr Main , Sloane St, Bryanston, Johannesburg, 2021","Johannesburg","Gauteng","","South Africa"," 0115756000","","https://www.regus.com/en-gb/south-africa/johannesburg/bryanston-the-campus-638?utm_source>>u003dyext_places_gmb>>u0026utm_medium>>u003dplaces>>u0026utm_campaign>>u003dyext_traffic>>u0026utm_content>>u003d638","","","https://maps.google.com/?hl=en_US&cid=0x0:0x82a7f241078ffe5e",""
"business","Office space rental agency","The Campus","Main Rd, Bryanston, Midrand, 2191","Midrand","Gauteng","","South Africa"," 0115758822","","https://thecampus.co.za/","","","https://maps.google.com/?hl=en_US&cid=0x0:0x76f3b71aa3d74d7d",""
"business","Consultant","Oak Business Solutions (Pty) Ltd","1 Wedgewood Link Rd, Bryanston, Sandton, 2191","Sandton","Gauteng","","South Africa"," 0101406642","info@oakbiz.co.za","https://www.oakbiz.co.za/","","","https://maps.google.com/?hl=en_US&cid=0x0:0x72d5e52c98f7479f",""
"business","Marketing agency","Promise Brand Specialists / Promise Digital","10 Hobart Rd, Bryanston, Sandton, 2191","Sandton","Gauteng","","South Africa"," 0114632413","","http://www.promisegroup.co.za/","","","https://maps.google.com/?hl=en_US&cid=0x0:0xdf2faa8878a39025",""
"business","Business park","41 on Sloane","Sandton, 2191, 41 Sloane St, Bryanston, Johannesburg, 2191","Johannesburg","Gauteng","","South Africa"," 0110542500","hello@41sloane.co.za","https://41sloane.co.za/","","","https://maps.google.com/?hl=en_US&cid=0x0:0x52b17b766f61f0e7",""
"business","Business management consultant","Innovation Boutique","Hobart Road, Bryanston, Johannesburg, 2191","Johannesburg","Gauteng","","South Africa"," 0105911251","","","","","https://maps.google.com/?hl=en_US&cid=0x0:0xf27ec95161913c6c",""
"business","Corporate office","The Campus","Ground Floor, 57 Sloane St, Bryanston, Sandton, 2191","Sandton","Gauteng","","South Africa"," 0115758822","","http://thecampus.co.za/","","","https://maps.google.com/?hl=en_US&cid=0x0:0x7d15631b3cb8cd5c",""
"business","Doctor","152 Bryanston Drive Office Park","152 Bryanston Dr, Bryanston, Sandton, 2191","Sandton","Gauteng","","South Africa"," 0110258168","","","","","https://maps.google.com/?hl=en_US&cid=0x0:0x8d7b285bbd1b2be0",""
"business","Advertising agency","OOB Business","Gaunt Ave, Bryanston, Sandton, 2191","Sandton","Gauteng","","South Africa","","administrator@oob.busi","http://oob.business/","","","https://maps.google.com/?hl=en_US&cid=0x0:0xd597693212a5fd92",""
"business","Conference center","Knightsbridge Office Park","2nd Floor Block B, 33 Sloane St, Bryanston, Sandton, 2191","Sandton","Gauteng","","South Africa"," 0110283100","","http://knightsbridge.co.za/","","","https://maps.google.com/?hl=en_US&cid=0x0:0x6d41b3ebd5c2fe0",""
"business","Business management consultant","Total Business Consulting","39A Bruton Rd, Bryanston, Sandton, 2191","Sandton","Gauteng","","South Africa"," 0114634549","info@totalbusinessconsulting.co.za","http://totalbusinessconsulting.co.za/","","","https://maps.google.com/?hl=en_US&cid=0x0:0xdcee173d86cb0e7",""
"business","business","N/A","","","Gauteng","","South Africa"," 0826067227","","","","","https://maps.google.com/?hl=en_US&cid=0x0:0x39c708cb1ac2517f",""
"business","Office space rental agency","Nicol Main Office Park Building A","2 Bruton Rd, Bryanston, Sandton, 2191","Sandton","Gauteng","","South Africa"," 0112913147","","","","","https://maps.google.com/?hl=en_US&cid=0x0:0xbf16112e797b91d5",""
"business","Business development service","Africa Business Group","22 Sloane St, Bryanston, Sandton, 2191","Sandton","Gauteng","","South Africa"," 0115134117","","","","","https://maps.google.com/?hl=en_US&cid=0x0:0xc1a6af5a4bb6b46b",""
"business","Business management consultant","Prophet","a, 28 Sloane St, Bryanston, Sandton, 2194","Sandton","Gauteng","","South Africa"," 0112606681","","","","","https://maps.google.com/?hl=en_US&cid=0x0:0xcdb1a498d5982865",""
"business","business","Bryanston","Sandton, 2191","Sandton","Gauteng","","South Africa","","","","","","https://maps.google.com/?hl=en_US&cid=0x0:0xbeb533755a3527fd",""
"business","business","N/A","","","Gauteng","","South Africa"," 0814596678","","","","","https://maps.google.com/?hl=en_US&cid=0x0:0xbec10fcee8347913",""
"business","business","N/A","","","Gauteng","","South Africa"," 0678713960","","","","","https://maps.google.com/?hl=en_US&cid=0x0:0x2d0aa1038f7d2916",""
"business","Doctor","Hampton Office Park","20 Georgian Cres E, Bryanston East, Johannesburg, 2191","Johannesburg","Gauteng","","South Africa"," 0118756541","","","","","https://maps.google.com/?hl=en_US&cid=0x0:0x8ac25efce7c5f585",""
"business","business","N/A","","","Gauteng","","South Africa"," 0676316716","","","","","https://maps.google.com/?hl=en_US&cid=0x0:0xb0a607052e56ef0c",""
"business","Business management consultant","Startabizz","No. 22 on sloane, Bryanston, Johannesburg","Johannesburg","Gauteng","","South Africa"," 0823543712","","","","","https://maps.google.com/?hl=en_US&cid=0x0:0xb3bcd526524494d3",""
"business","Business management consultant","UNHU Business Solutions","22 Sloane St, Bryanston, Sandton, 2191","Sandton","Gauteng","","South Africa"," 0671338169","","","","","https://maps.google.com/?hl=en_US&cid=0x0:0x58e8f8e4ee744870",""
"business","Office space rental agency","Parc Nicol","3001 Winnie Mandela Dr, Bryanston, Johannesburg, 2031","Johannesburg","Gauteng","","South Africa","","","https://www.swindon.co.za/agent/cassandra-boshoff","","","https://maps.google.com/?hl=en_US&cid=0x0:0xb9f6787dd5c37b5e",""
"business","Corporate office","Stonewedge Office Park","1 Wedgelink Rd, Bryanston, Johannesburg, 2031","Johannesburg","Gauteng","","South Africa"," 0116763000","","http://www.tourvest.co.za/","","","https://maps.google.com/?hl=en_US&cid=0x0:0x8dbd56a700c10e8d",""
"business","Business management consultant","IT Business","2nd Floor, Building A, Knightsbridge, 33 Sloane St, Bryanston, Sandton, 2191","Sandton","Gauteng","","South Africa"," 0114627450","info@itbusiness.co.za","http://www.itbusiness.co.za/","","","https://maps.google.com/?hl=en_US&cid=0x0:0x6ed3ed82afd309c3",""
"business","Business management consultant","Innovation Boutique","Hobart Road, Bryanston, Johannesburg, 2191","Johannesburg","Gauteng","","South Africa"," 0105911251","","","","","https://maps.google.com/?hl=en_US&cid=0x0:0xf27ec95161913c6c",""
"business","Office space rental agency","Cube Workspace Bryanston","1 Wedgewood Link Rd, Bryanston, Johannesburg, 2191","Johannesburg","Gauteng","","South Africa"," 0861112823","info@cubeworkspace.co.za","http://cubeworkspace.co.za/","","","https://maps.google.com/?hl=en_US&cid=0x0:0x481368131dd81341",""
"business","Business management consultant","Business Intelligent","20 Georgian Cres E, Bryanston, 2191","Bryanston","Gauteng","","South Africa"," 0842444129","","http://www.businessintelligent.co.za/","","","https://maps.google.com/?hl=en_US&cid=0x0:0xee952d34b0c411c1",""
"business","Tax consultant","Foreign Company Setup South Africa","57 Sloane St, Bryanston, Sandton, 2191","Sandton","Gauteng","","South Africa"," 0114670810","","https://foreigncompany.co.za/","","","https://maps.google.com/?hl=en_US&cid=0x0:0xe1819acad5f367ae",""
"business","business","NetworkSpace Bryanston","Block F, Saint Andrews Office Park 0B Meadowbrook Ln, Epsom Downs, Bryanston, Sandton, 2152","Sandton","Gauteng","","South Africa"," 0115933199","john@doe.com","http://www.networkspace.co.za/","","","https://maps.google.com/?hl=en_US&cid=0x0:0x2adb18fc88ee1da5",""
"business","Business park","Regus - Johannesburg Bryanston The Campus","Ground Floor, The Campus, Twickenham Building, Cnr Main , Sloane St, Bryanston, Johannesburg, 2021","Johannesburg","Gauteng","","South Africa"," 0115756000","","https://www.regus.com/en-gb/south-africa/johannesburg/bryanston-the-campus-638?utm_source>>u003dyext_places_gmb>>u0026utm_medium>>u003dplaces>>u0026utm_campaign>>u003dyext_traffic>>u0026utm_content>>u003d638","","","https://maps.google.com/?hl=en_US&cid=0x0:0x82a7f241078ffe5e",""
"business","Office space rental agency","Parc Nicol","3001 Winnie Mandela Dr, Bryanston, Johannesburg, 2031","Johannesburg","Gauteng","","South Africa","","","https://www.swindon.co.za/agent/cassandra-boshoff","","","https://maps.google.com/?hl=en_US&cid=0x0:0xb9f6787dd5c37b5e",""
"business","Business park","41 on Sloane","Sandton, 2191, 41 Sloane St, Bryanston, Johannesburg, 2191","Johannesburg","Gauteng","","South Africa"," 0110542500","hello@41sloane.co.za","https://41sloane.co.za/","","","https://maps.google.com/?hl=en_US&cid=0x0:0x52b17b766f61f0e7",""
"business","Office space rental agency","2929 on Nicol","2929 Winnie Mandela Dr, Bryanston, Sandton, 2021","Sandton","Gauteng","","South Africa"," 0112913147","","https://burstone.com/property-portfolio/south-africa/2929-on-nicol","","","https://maps.google.com/?hl=en_US&cid=0x0:0x8dea028d7ca8ff08",""
"business","Office space rental agency","Nicol Main Office Park Building A","2 Bruton Rd, Bryanston, Sandton, 2191","Sandton","Gauteng","","South Africa"," 0112913147","","","","","https://maps.google.com/?hl=en_US&cid=0x0:0xbf16112e797b91d5",""
"business","Business development service","Africa Business Group","22 Sloane St, Bryanston, Sandton, 2191","Sandton","Gauteng","","South Africa"," 0115134117","","","","","https://maps.google.com/?hl=en_US&cid=0x0:0xc1a6af5a4bb6b46b",""
"business","Doctor","152 Bryanston Drive Office Park","152 Bryanston Dr, Bryanston, Sandton, 2191","Sandton","Gauteng","","South Africa"," 0110258168","","","","","https://maps.google.com/?hl=en_US&cid=0x0:0x8d7b285bbd1b2be0",""
"business","Business management consultant","Total Business Consulting","39A Bruton Rd, Bryanston, Sandton, 2191","Sandton","Gauteng","","South Africa"," 0114634549","info@totalbusinessconsulting.co.za","http://totalbusinessconsulting.co.za/","","","https://maps.google.com/?hl=en_US&cid=0x0:0xdcee173d86cb0e7",""
"business","Corporate office","Bryanston Office Park","199 Bryanston Dr, Bryanston, Sandton, 2191","Sandton","Gauteng","","South Africa","","","","","","https://maps.google.com/?hl=en_US&cid=0x0:0xf845bb219fda578b",""
"business","Business management consultant","UNHU Business Solutions","22 Sloane St, Bryanston, Sandton, 2191","Sandton","Gauteng","","South Africa"," 0671338169","","","","","https://maps.google.com/?hl=en_US&cid=0x0:0x58e8f8e4ee744870",""
"business","Business management consultant","Office Executives","Cedarwood House, Ballywood Office Park, 33 Ballyclare Dr, Bryanston, Sandton, 2191","Sandton","Gauteng","","South Africa"," 0100075812","","","","","https://maps.google.com/?hl=en_US&cid=0x0:0x5d15655530e88098",""
"business","Internet marketing service","Enofirstsolution(Pty)Ltd ( @enofirstsolution /@filmenoza)","15 pine rd , broadacers, Fourways, Johannesburg, 2055","Johannesburg","Gauteng","","South Africa","","enofirstsolution@gmail.com","https://acalytica.com/Enofirstsolution?fbclid>>u003dIwZXh0bgNhZW0CMTAAAR2MovqCkPtCt3JoC3b-7D3UFcIGbZ-8YWYVliipetEZSo8IpRKVd0yARGw_aem_Ab0NwlYeqiwubcE_fhCUejXZJDkYi_fs-pdXf5lW1ZST2556NatmFclhs6teFJuG3k6M1H9O7tbuN34Hy9E-i0A-","","","https://maps.google.com/?hl=en_US&cid=0x0:0x787be3dd3f51021d",""
"business","Business management consultant","Strategy International","11 Wild Pear Cres, Fourways, Sandton, 2055","Sandton","Gauteng","","South Africa"," 0833014530","di@strat.co.za","http://strat.co.za/","","","https://maps.google.com/?hl=en_US&cid=0x0:0x39c398b4cc42f332",""
