Category,Real Category,Business Name,Address,City,State,Postal Code,Country,Phone,Email,Website,Latitude,Longitude,Map Link,Details Link
"business","Business park","Regus - Johannesburg Bryanston The Campus","Ground Floor, The Campus, Twickenham Building, Cnr Main , Sloane St, Bryanston, Johannesburg, 2021","Johannesburg","Gauteng","","South Africa"," 0115756000","","https://www.regus.com/en-gb/south-africa/johannesburg/bryanston-the-campus-638?utm_source>>u003dyext_places_gmb>>u0026utm_medium>>u003dplaces>>u0026utm_campaign>>u003dyext_traffic>>u0026utm_content>>u003d638","","","https://maps.google.com/?hl=en_US&cid=0x0:0x82a7f241078ffe5e",""
"business","Corporate office","AB-InBev Bryanston Office","56 Grosvenor Rd, Bryanston, Sandton, 2191","Sandton","Gauteng","","South Africa"," 0118818111","","http://www.sab.co.za/","","","https://maps.google.com/?hl=en_US&cid=0x0:0xce7e691bc9c657af",""
"business","Office space rental agency","2929 on Nicol","2929 Winnie Mandela Dr, Bryanston, Sandton, 2021","Sandton","Gauteng","","South Africa"," 0112913147","","https://burstone.com/property-portfolio/south-africa/2929-on-nicol","","","https://maps.google.com/?hl=en_US&cid=0x0:0x8dea028d7ca8ff08",""
"business","Corporate office","The Campus","Ground Floor, 57 Sloane St, Bryanston, Sandton, 2191","Sandton","Gauteng","","South Africa"," 0115758822","","http://thecampus.co.za/","","","https://maps.google.com/?hl=en_US&cid=0x0:0x7d15631b3cb8cd5c",""
"business","Real estate agency","Realyst Contract Management","4 Pieter Wenning Rd, Witkoppen, Sandton, 2068","Sandton","Gauteng","","South Africa"," 0108223571","info@realyst.com","http://www.realyst.com/","","","https://maps.google.com/?hl=en_US&cid=0x0:0x423148073dfec50c",""
"business","Computer consultant","BUI","3012 Winnie Mandela Dr, Bryanston, Sandton, 2191","Sandton","Gauteng","","South Africa"," 0116562862","","http://www.bui.co.za/","","","https://maps.google.com/?hl=en_US&cid=0x0:0x888fd94f437f0855",""
"business","Business management consultant","Valish (Pty) Ltd","Building 1, Ruby Cl, Witkoppen, Sandton, 2068","Sandton","Gauteng","","South Africa"," 0878222487","","","","","https://maps.google.com/?hl=en_US&cid=0x0:0xc4e7f4643dfe784b",""
"business","Business park","41 on Sloane","Sandton, 2191, 41 Sloane St, Bryanston, Johannesburg, 2191","Johannesburg","Gauteng","","South Africa"," 0110542500","hello@41sloane.co.za","https://41sloane.co.za/","","","https://maps.google.com/?hl=en_US&cid=0x0:0x52b17b766f61f0e7",""
"business","business","Bryanston","Sandton, 2191","Sandton","Gauteng","","South Africa","","","","","","https://maps.google.com/?hl=en_US&cid=0x0:0xbeb533755a3527fd",""
"business","Business management consultant","Milele Group","Unit 3, 1st Floor, Parc Nicol, Office Park Bryanston","Sandton","Gauteng","","South Africa"," 0114635554","","","","","https://maps.google.com/?hl=en_US&cid=0x0:0xa5854296fd9aef80",""
"business","Office space rental agency","Nicol Main Office Park Building A","2 Bruton Rd, Bryanston, Sandton, 2191","Sandton","Gauteng","","South Africa"," 0112913147","","","","","https://maps.google.com/?hl=en_US&cid=0x0:0xbf16112e797b91d5",""
"business","Business management consultant","Shiko Consulting","22 Sloane St, Bryanston, Sandton, 2191","Sandton","Gauteng","","South Africa"," 0620860616","","","","","https://maps.google.com/?hl=en_US&cid=0x0:0x89a7a01166db02cb",""
"business","Business management consultant","Tulo Vation","22 Sloane St, Bryanston, Sandton, 2191","Sandton","Gauteng","","South Africa"," 0115684660","","","","","https://maps.google.com/?hl=en_US&cid=0x0:0x6a5bd66e0b9d0fd5",""
"business","Software company","PRP Solutions","Building 9, Somerset Office Park, 5 Libertas Rd, Bryanston, Sandton, 2191","Sandton","Gauteng","","South Africa"," 0861000476","","https://www.prpsolutions.com/","","","https://maps.google.com/?hl=en_US&cid=0x0:0x2bfddb9a63d046e0",""
"business","Marketing agency","Digital Briefcase","Cube Workspace Bryanston, 1 Wedgewood Link Rd, Bryanston, Sandton, 2191","Sandton","Gauteng","","South Africa"," 0101410253","info@digitalbriefcase.co.za","http://digitalbriefcase.co.za/","","","https://maps.google.com/?hl=en_US&cid=0x0:0xeae6d526eb8f50b7",""
"business","Business management consultant","INDeX INNOVATION GROUP (PTY) LTD","1 Wedgewood Link Rd, Bryanston, Johannesburg, 2191","Johannesburg","Gauteng","","South Africa"," 0795538795","","http://indexinnovation.global/","","","https://maps.google.com/?hl=en_US&cid=0x0:0xbfef4e47c1e818ee",""
"business","Business management consultant","National Group","Westminster Ave, Bryanston, Sandton, 2191","Sandton","Gauteng","","South Africa"," 0102130484","info@nationalgroup.co.za","https://www.nationalgroup.co.za/","","","https://maps.google.com/?hl=en_US&cid=0x0:0xfbced005ac6c8627",""
"business","Recruiter","Wood","Building 2, Silver Stream Business Park, 10 Muswell Rd S, Johannesburg, 2021","Johannesburg","Gauteng","","South Africa"," 0118407300","investor.relations@woodplc.com","http://www.woodplc.com/","","","https://maps.google.com/?hl=en_US&cid=0x0:0x84f8835e3e84b32d",""
"business","BPO company","Serite Associates","Sloane St , Winnie Mandela Dr, Bryanston, Sandton, 2191","Sandton","Gauteng","","South Africa"," 0101101402","info@azaniaca.co.za","http://seriteca.co.za/","","","https://maps.google.com/?hl=en_US&cid=0x0:0xb30f12266d4fbe10",""
"business","Business management consultant","Tulo Vation","22 Sloane St, Bryanston, Sandton, 2191","Sandton","Gauteng","","South Africa"," 0115684660","","","","","https://maps.google.com/?hl=en_US&cid=0x0:0x6a5bd66e0b9d0fd5",""
"business","Advertising agency","Main Straight Office Park, Bryanston","2940 Winnie Mandela Dr, Bryanston, Sandton, 2191","Sandton","Gauteng","","South Africa","","","","","","https://maps.google.com/?hl=en_US&cid=0x0:0x4864cc82ccd4b4",""
"business","Video production service","The African Motion Picture Company","Wedgewood Link Rd, Bryanston, Sandton, 2191","Sandton","Gauteng","","South Africa"," 0114635059","justyn@africanmotion.co.za","http://www.africanmotion.co.za/","","","https://maps.google.com/?hl=en_US&cid=0x0:0x84686c59e66f5ccf",""
"business","Advertising agency","OOB Business","Gaunt Ave, Bryanston, Sandton, 2191","Sandton","Gauteng","","South Africa","","administrator@oob.busi","http://oob.business/","","","https://maps.google.com/?hl=en_US&cid=0x0:0xd597693212a5fd92",""
"business","Computer support and services","Expeditus","Ground floor, Atterbury House, Hampton Office Park, 20 Georgian Cres E, Bryanston, Johannesburg, 2191","Johannesburg","Gauteng","","South Africa"," 0100204852","info@expeditus.co.za","http://expeditus.co.za/","","","https://maps.google.com/?hl=en_US&cid=0x0:0x6194a7cf112f74e5",""
"business","Business management consultant","Arbour Consulting","The Main Office Straight, Portman Rd, Bryanston, Sandton, 2191","Sandton","Gauteng","","South Africa"," 0103000170","contact@arbour.co.za","http://www.arbour.co.za/","","","https://maps.google.com/?hl=en_US&cid=0x0:0xb5865ca20f1af110",""
"business","Accounting firm","More Core Management (Pty) Ltd","E, La Rocca Office Park, 321 Main Rd, Bryanston, Johannesburg, 2191","Johannesburg","Gauteng","","South Africa"," 0114631169","","http://www.morecore.co.za/","","","https://maps.google.com/?hl=en_US&cid=0x0:0xc9a032b1f616384a",""
"business","Marketing agency","Digital Briefcase","Cube Workspace Bryanston, 1 Wedgewood Link Rd, Bryanston, Sandton, 2191","Sandton","Gauteng","","South Africa"," 0101410253","info@digitalbriefcase.co.za","http://digitalbriefcase.co.za/","","","https://maps.google.com/?hl=en_US&cid=0x0:0xeae6d526eb8f50b7",""
"business","Business management consultant","National Group","Westminster Ave, Bryanston, Sandton, 2191","Sandton","Gauteng","","South Africa"," 0102130484","info@nationalgroup.co.za","https://www.nationalgroup.co.za/","","","https://maps.google.com/?hl=en_US&cid=0x0:0xfbced005ac6c8627",""
"business","Software company","PRP Solutions","Building 9, Somerset Office Park, 5 Libertas Rd, Bryanston, Sandton, 2191","Sandton","Gauteng","","South Africa"," 0861000476","","https://www.prpsolutions.com/","","","https://maps.google.com/?hl=en_US&cid=0x0:0x2bfddb9a63d046e0",""
"business","Tax consultant","Foreign Company Setup South Africa","57 Sloane St, Bryanston, Sandton, 2191","Sandton","Gauteng","","South Africa"," 0114670810","","https://foreigncompany.co.za/","","","https://maps.google.com/?hl=en_US&cid=0x0:0xe1819acad5f367ae",""
"business","Beverage distributor","Designer Water Bryanston","20 Georgian Cres E, Bryanston, Johannesburg, 2191","Johannesburg","Gauteng","","South Africa"," 0726456222","","","","","https://maps.google.com/?hl=en_US&cid=0x0:0xbc4fea0e42ad80bc",""
"business","Corporate office","Stonewedge Office Park","1 Wedgelink Rd, Bryanston, Johannesburg, 2031","Johannesburg","Gauteng","","South Africa"," 0116763000","","http://www.tourvest.co.za/","","","https://maps.google.com/?hl=en_US&cid=0x0:0x8dbd56a700c10e8d",""
"business","Business management consultant","Milele Group","Unit 3, 1st Floor, Parc Nicol, Office Park Bryanston","Sandton","Gauteng","","South Africa"," 0114635554","","","","","https://maps.google.com/?hl=en_US&cid=0x0:0xa5854296fd9aef80",""
"business","Recruiter","Wood","Building 2, Silver Stream Business Park, 10 Muswell Rd S, Johannesburg, 2021","Johannesburg","Gauteng","","South Africa"," 0118407300","investor.relations@woodplc.com","http://www.woodplc.com/","","","https://maps.google.com/?hl=en_US&cid=0x0:0x84f8835e3e84b32d",""
"business","Software company","epic ERP","1st Floor, Sedgwick House, 19 Muswell Rd S, Bryanston, Johannesburg, 2191","Johannesburg","Gauteng","","South Africa"," 0113670620","in@ep.za","http://www.epicerp.co.za/","","","https://maps.google.com/?hl=en_US&cid=0x0:0x82483d60ea5cb7c7",""
"business","Office space rental agency","Cube Workspace Bryanston","1 Wedgewood Link Rd, Bryanston, Johannesburg, 2191","Johannesburg","Gauteng","","South Africa"," 0861112823","info@cubeworkspace.co.za","http://cubeworkspace.co.za/","","","https://maps.google.com/?hl=en_US&cid=0x0:0x481368131dd81341",""
"business","Business management consultant","INDeX INNOVATION GROUP (PTY) LTD","1 Wedgewood Link Rd, Bryanston, Johannesburg, 2191","Johannesburg","Gauteng","","South Africa"," 0795538795","","http://indexinnovation.global/","","","https://maps.google.com/?hl=en_US&cid=0x0:0xbfef4e47c1e818ee",""
"business","business","Bryanston","Sandton, 2191","Sandton","Gauteng","","South Africa","","","","","","https://maps.google.com/?hl=en_US&cid=0x0:0xbeb533755a3527fd",""
"business","Office space rental agency","Wedgefield Office Park","17 Muswell Rd S, Bryanston, Sandton, 2191","Sandton","Gauteng","","South Africa","","sales@sireletsagroup.co.za","http://sireletsagroup.co.za/","","","https://maps.google.com/?hl=en_US&cid=0x0:0xc73cb8fa8fa4d630",""
"business","Business management consultant","Cassava Smartech","Anslow Office Park, 8 Anslow Ln, Bryanston, 2196","Sandton","Gauteng","","South Africa","","","http://cassavasmartech.com/","","","https://maps.google.com/?hl=en_US&cid=0x0:0x5c5460573879d119",""
"business","Chartered accountant","Moore Infinity","Silver Stream Business Park, 10 Muswell Rd, Bryanston, Sandton, 2191","Sandton","Gauteng","","South Africa"," 0114218374","","https://www.moore-southafrica.com/","","","https://maps.google.com/?hl=en_US&cid=0x0:0xbff625965cf91240",""
"business","Business management consultant","Uyandiswa","Nicol on Main Office Park, 2 Bruton Rd, Bryanston, Sandton, 2191","Sandton","Gauteng","","South Africa"," 0109003234","info@uyandiswa.com","http://uyandiswa.com/","","","https://maps.google.com/?hl=en_US&cid=0x0:0x9cb4a35c412fc4d4",""
"business","Business management consultant","Shiko Consulting","22 Sloane St, Bryanston, Sandton, 2191","Sandton","Gauteng","","South Africa"," 0620860616","","","","","https://maps.google.com/?hl=en_US&cid=0x0:0x89a7a01166db02cb",""
"business","Investment service","HL HALL  SONS HOLDINGS GROUP","Ground Floor, Moraine House - The Braes, 193 Bryanston Dr, Bryanston, 2191","Sandton","Gauteng","","South Africa"," 0114636327","","","","","https://maps.google.com/?hl=en_US&cid=0x0:0x890f1f9646354dc8",""
"business","Office space rental agency","The Campus","Main Rd, Bryanston, Midrand, 2191","Midrand","Gauteng","","South Africa"," 0115758822","","https://thecampus.co.za/","","","https://maps.google.com/?hl=en_US&cid=0x0:0x76f3b71aa3d74d7d",""
"business","BPO company","Serite Associates","Sloane St , Winnie Mandela Dr, Bryanston, Sandton, 2191","Sandton","Gauteng","","South Africa"," 0101101402","info@azaniaca.co.za","http://seriteca.co.za/","","","https://maps.google.com/?hl=en_US&cid=0x0:0xb30f12266d4fbe10",""
"business","Human resource consulting","Encapsulate Consulting","Cedarwood House, 33 Ballyclare Drive Ballywoods Office Park, Bryanston, Johannesburg, 2191","Johannesburg","Gauteng","","South Africa"," 0105906278","info@encapsulate.co.za","https://encapsulate.co.za/","","","https://maps.google.com/?hl=en_US&cid=0x0:0x6bf8e28dfc3a8448",""
"business","Accounting firm","Digital CFO","68 Hobart Rd, Bryanston, Johannesburg, 2191","Johannesburg","Gauteng","","South Africa"," 0655676380","","http://www.digitalcfo.co.za/","","","https://maps.google.com/?hl=en_US&cid=0x0:0xeb8fa849dd7accb4",""
"business","Business management consultant","National Group","Westminster Ave, Bryanston, Sandton, 2191","Sandton","Gauteng","","South Africa"," 0102130484","info@nationalgroup.co.za","https://www.nationalgroup.co.za/","","","https://maps.google.com/?hl=en_US&cid=0x0:0xfbced005ac6c8627",""
"business","Corporate office","The Campus","Ground Floor, 57 Sloane St, Bryanston, Sandton, 2191","Sandton","Gauteng","","South Africa"," 0115758822","","http://thecampus.co.za/","","","https://maps.google.com/?hl=en_US&cid=0x0:0x7d15631b3cb8cd5c",""
"business","Tax consultant","Foreign Company Setup South Africa","57 Sloane St, Bryanston, Sandton, 2191","Sandton","Gauteng","","South Africa"," 0114670810","","https://foreigncompany.co.za/","","","https://maps.google.com/?hl=en_US&cid=0x0:0xe1819acad5f367ae",""
"business","Business management consultant","Tulo Vation","22 Sloane St, Bryanston, Sandton, 2191","Sandton","Gauteng","","South Africa"," 0115684660","","","","","https://maps.google.com/?hl=en_US&cid=0x0:0x6a5bd66e0b9d0fd5",""
"business","Business management consultant","Cassava Smartech","Anslow Office Park, 8 Anslow Ln, Bryanston, 2196","Sandton","Gauteng","","South Africa","","","http://cassavasmartech.com/","","","https://maps.google.com/?hl=en_US&cid=0x0:0x5c5460573879d119",""
"business","Software company","PRP Solutions","Building 9, Somerset Office Park, 5 Libertas Rd, Bryanston, Sandton, 2191","Sandton","Gauteng","","South Africa"," 0861000476","","https://www.prpsolutions.com/","","","https://maps.google.com/?hl=en_US&cid=0x0:0x2bfddb9a63d046e0",""
"business","Office space rental agency","The Campus","Main Rd, Bryanston, Midrand, 2191","Midrand","Gauteng","","South Africa"," 0115758822","","https://thecampus.co.za/","","","https://maps.google.com/?hl=en_US&cid=0x0:0x76f3b71aa3d74d7d",""
"business","BPO company","Serite Associates","Sloane St , Winnie Mandela Dr, Bryanston, Sandton, 2191","Sandton","Gauteng","","South Africa"," 0101101402","info@azaniaca.co.za","http://seriteca.co.za/","","","https://maps.google.com/?hl=en_US&cid=0x0:0xb30f12266d4fbe10",""
"business","Business management consultant","Innovation Boutique","Hobart Road, Bryanston, Johannesburg, 2191","Johannesburg","Gauteng","","South Africa"," 0105911251","","","","","https://maps.google.com/?hl=en_US&cid=0x0:0xf27ec95161913c6c",""
"business","Business management consultant","Shiko Consulting","22 Sloane St, Bryanston, Sandton, 2191","Sandton","Gauteng","","South Africa"," 0620860616","","","","","https://maps.google.com/?hl=en_US&cid=0x0:0x89a7a01166db02cb",""
"business","Consultant","Oak Business Solutions (Pty) Ltd","1 Wedgewood Link Rd, Bryanston, Sandton, 2191","Sandton","Gauteng","","South Africa"," 0101406642","info@oakbiz.co.za","https://www.oakbiz.co.za/","","","https://maps.google.com/?hl=en_US&cid=0x0:0x72d5e52c98f7479f",""
"business","Corporate office","Stonewedge Office Park","1 Wedgelink Rd, Bryanston, Johannesburg, 2031","Johannesburg","Gauteng","","South Africa"," 0116763000","","http://www.tourvest.co.za/","","","https://maps.google.com/?hl=en_US&cid=0x0:0x8dbd56a700c10e8d",""
"business","Marketing consultant","Kantar Retail","78 Peter Place, Bryanston, Sandton, 2191","Sandton","Gauteng","","South Africa"," 0110829729","","","","","https://maps.google.com/?hl=en_US&cid=0x0:0x1705a28e3d997d91",""
"business","Business management consultant","Total Business Consulting","39A Bruton Rd, Bryanston, Sandton, 2191","Sandton","Gauteng","","South Africa"," 0114634549","info@totalbusinessconsulting.co.za","http://totalbusinessconsulting.co.za/","","","https://maps.google.com/?hl=en_US&cid=0x0:0xdcee173d86cb0e7",""
"business","Business management consultant","Business Intelligent","20 Georgian Cres E, Bryanston, 2191","Bryanston","Gauteng","","South Africa"," 0842444129","","http://www.businessintelligent.co.za/","","","https://maps.google.com/?hl=en_US&cid=0x0:0xee952d34b0c411c1",""
"business","Marketing agency","Digital Briefcase","Cube Workspace Bryanston, 1 Wedgewood Link Rd, Bryanston, Sandton, 2191","Sandton","Gauteng","","South Africa"," 0101410253","info@digitalbriefcase.co.za","http://digitalbriefcase.co.za/","","","https://maps.google.com/?hl=en_US&cid=0x0:0xeae6d526eb8f50b7",""
"business","Investment service","HL HALL  SONS HOLDINGS GROUP","Ground Floor, Moraine House - The Braes, 193 Bryanston Dr, Bryanston, 2191","Sandton","Gauteng","","South Africa"," 0114636327","","","","","https://maps.google.com/?hl=en_US&cid=0x0:0x890f1f9646354dc8",""
"business","Corporate office","Gartner South Africa (Pty) Ltd","The Main Straight Office Park, 392 Main Road,, Building A, 1st Floor, Bryanston, Johannesburg, 2191","Johannesburg","Gauteng","","South Africa"," 0110732700","","http://www.gartner.com/","","","https://maps.google.com/?hl=en_US&cid=0x0:0x83e7a49c18175a76",""
"business","business","Bryanston","Sandton, 2191","Sandton","Gauteng","","South Africa","","","","","","https://maps.google.com/?hl=en_US&cid=0x0:0xbeb533755a3527fd",""
"business","Recruiter","Wood","Building 2, Silver Stream Business Park, 10 Muswell Rd S, Johannesburg, 2021","Johannesburg","Gauteng","","South Africa"," 0118407300","investor.relations@woodplc.com","http://www.woodplc.com/","","","https://maps.google.com/?hl=en_US&cid=0x0:0x84f8835e3e84b32d",""
"business","Advertising agency","OOB Business","Gaunt Ave, Bryanston, Sandton, 2191","Sandton","Gauteng","","South Africa","","administrator@oob.busi","http://oob.business/","","","https://maps.google.com/?hl=en_US&cid=0x0:0xd597693212a5fd92",""
"business","Accounting firm","More Core Management (Pty) Ltd","E, La Rocca Office Park, 321 Main Rd, Bryanston, Johannesburg, 2191","Johannesburg","Gauteng","","South Africa"," 0114631169","","http://www.morecore.co.za/","","","https://maps.google.com/?hl=en_US&cid=0x0:0xc9a032b1f616384a",""
"business","Accounting firm","Digital CFO","68 Hobart Rd, Bryanston, Johannesburg, 2191","Johannesburg","Gauteng","","South Africa"," 0655676380","","http://www.digitalcfo.co.za/","","","https://maps.google.com/?hl=en_US&cid=0x0:0xeb8fa849dd7accb4",""
"business","business","Gauteng","","","Gauteng","","South Africa","","","","","","https://maps.google.com/?hl=en_US&cid=0x0:0x6d9ee7c7cb5438e2",""
"business","Software company","Compuscan","Ext 7, Ballyoaks Office Park, 35 Ballyclare Dr, Bryanston, Sandton, 2191","Sandton","Gauteng","","South Africa"," 0114638575","","","","","https://maps.google.com/?hl=en_US&cid=0x0:0x49817c5748e1bb2a",""
"business","Business management consultant","TTI SI South Africa","10 Muswell Rd, Silver Stream Business Park, Sandton, 2062","Sandton","Gauteng","","South Africa","","","","","","https://maps.google.com/?hl=en_US&cid=0x0:0xe64b55157b3e4c4c",""
"business","Financial planner","The Mogaladi Group","17 Muswell Rd South Wedgefield Office Park, Bryanston, Sandton, 2191","Sandton","Gauteng","","South Africa"," 0115400119","","http://mogaladigroup.com/","","","https://maps.google.com/?hl=en_US&cid=0x0:0xa526ad858a4d2a6b",""
"business","Holding company","C I M S South Africa (Pty) Ltd","25A Eaton Ave, Bryanston, Sandton, 2191","Sandton","Gauteng","","South Africa"," 0114638723","","http://www.cimssa.co.za/","","","https://maps.google.com/?hl=en_US&cid=0x0:0xc82427c362ad8888",""
"business","Corporate office","The Campus","Ground Floor, 57 Sloane St, Bryanston, Sandton, 2191","Sandton","Gauteng","","South Africa"," 0115758822","","http://thecampus.co.za/","","","https://maps.google.com/?hl=en_US&cid=0x0:0x7d15631b3cb8cd5c",""
"business","Business management consultant","Business Intelligent","20 Georgian Cres E, Bryanston, 2191","Bryanston","Gauteng","","South Africa"," 0842444129","","http://www.businessintelligent.co.za/","","","https://maps.google.com/?hl=en_US&cid=0x0:0xee952d34b0c411c1",""
"business","Marketing agency","Google, Johannesburg","Building E, Ballyoaks Office Park, 35 Ballyclare Dr, Johannesburg, 2021","Johannesburg","Gauteng","","South Africa","","","","","","https://maps.google.com/?hl=en_US&cid=0x0:0x8caaabb3684fceb1",""
"business","Corporate office","Gartner South Africa (Pty) Ltd","The Main Straight Office Park, 392 Main Road,, Building A, 1st Floor, Bryanston, Johannesburg, 2191","Johannesburg","Gauteng","","South Africa"," 0110732700","","http://www.gartner.com/","","","https://maps.google.com/?hl=en_US&cid=0x0:0x83e7a49c18175a76",""
"business","Business management consultant","Milele Group","Unit 3, 1st Floor, Parc Nicol, Office Park Bryanston","Sandton","Gauteng","","South Africa"," 0114635554","","","","","https://maps.google.com/?hl=en_US&cid=0x0:0xa5854296fd9aef80",""
"business","Business management consultant","Synergist","Ground Floor, Cedarwood House, Ballywoods Office Park, 33 Ballyclare Dr, Bryanston, Sandton, 2060","Sandton","Gauteng","","South Africa"," 0115400224","","http://www.synergistgroup.co.za/","","","https://maps.google.com/?hl=en_US&cid=0x0:0xb3ce46f09b691bf8",""
"business","Business management consultant","Total Business Consulting","39A Bruton Rd, Bryanston, Sandton, 2191","Sandton","Gauteng","","South Africa"," 0114634549","info@totalbusinessconsulting.co.za","http://totalbusinessconsulting.co.za/","","","https://maps.google.com/?hl=en_US&cid=0x0:0xdcee173d86cb0e7",""
"business","Office space rental agency","The Campus","Main Rd, Bryanston, Midrand, 2191","Midrand","Gauteng","","South Africa"," 0115758822","","https://thecampus.co.za/","","","https://maps.google.com/?hl=en_US&cid=0x0:0x76f3b71aa3d74d7d",""
"business","General store","FeverTree Consulting","Ironwood House, Ballywood Office Park, 33 Ballyclare Dr, Bryanston, Johannesburg, 2074","Johannesburg","Gauteng","","South Africa"," 0113847800","","http://www.fevertreeconsulting.com/","","","https://maps.google.com/?hl=en_US&cid=0x0:0x4c3d2f35498576aa",""
"business","Business management consultant","Kantar Added Value South Africa","3012a Winnie Mandela Dr, Bryanston, Sandton, 2191","Sandton","Gauteng","","South Africa"," 0110829700","","http://za.added-value.com/","","","https://maps.google.com/?hl=en_US&cid=0x0:0x5cad28bfd3c5c659",""
"business","Human resource consulting","Encapsulate Consulting","Cedarwood House, 33 Ballyclare Drive Ballywoods Office Park, Bryanston, Johannesburg, 2191","Johannesburg","Gauteng","","South Africa"," 0105906278","info@encapsulate.co.za","https://encapsulate.co.za/","","","https://maps.google.com/?hl=en_US&cid=0x0:0x6bf8e28dfc3a8448",""
"business","Business management consultant","TTI SI South Africa","10 Muswell Rd, Silver Stream Business Park, Sandton, 2062","Sandton","Gauteng","","South Africa","","","","","","https://maps.google.com/?hl=en_US&cid=0x0:0xe64b55157b3e4c4c",""
"business","Accounting firm","More Core Management (Pty) Ltd","E, La Rocca Office Park, 321 Main Rd, Bryanston, Johannesburg, 2191","Johannesburg","Gauteng","","South Africa"," 0114631169","","http://www.morecore.co.za/","","","https://maps.google.com/?hl=en_US&cid=0x0:0xc9a032b1f616384a",""
"business","Business management consultant","Shiko Consulting","22 Sloane St, Bryanston, Sandton, 2191","Sandton","Gauteng","","South Africa"," 0620860616","","","","","https://maps.google.com/?hl=en_US&cid=0x0:0x89a7a01166db02cb",""
"business","Computer support and services","Expeditus","Ground floor, Atterbury House, Hampton Office Park, 20 Georgian Cres E, Bryanston, Johannesburg, 2191","Johannesburg","Gauteng","","South Africa"," 0100204852","info@expeditus.co.za","http://expeditus.co.za/","","","https://maps.google.com/?hl=en_US&cid=0x0:0x6194a7cf112f74e5",""
"business","Business management consultant","Arbour Consulting","The Main Office Straight, Portman Rd, Bryanston, Sandton, 2191","Sandton","Gauteng","","South Africa"," 0103000170","contact@arbour.co.za","http://www.arbour.co.za/","","","https://maps.google.com/?hl=en_US&cid=0x0:0xb5865ca20f1af110",""
"business","Recruiter","Wood","Building 2, Silver Stream Business Park, 10 Muswell Rd S, Johannesburg, 2021","Johannesburg","Gauteng","","South Africa"," 0118407300","investor.relations@woodplc.com","http://www.woodplc.com/","","","https://maps.google.com/?hl=en_US&cid=0x0:0x84f8835e3e84b32d",""
"business","business","Gauteng","","","Gauteng","","South Africa","","","","","","https://maps.google.com/?hl=en_US&cid=0x0:0x6d9ee7c7cb5438e2",""
"business","Accounting firm","Thrive Corporate Advisors","Ground Floor, Block G, Wedgewood Office Park, 3 Muswell Rd S, Bryanston, Sandton, 2191","Sandton","Gauteng","","South Africa"," 0115756899","info@thriveadvisors.co.za","http://thriveadvisors.co.za/","","","https://maps.google.com/?hl=en_US&cid=0x0:0x6c4d5ff7c50e33c6",""
"business","Business management consultant","Innovation Boutique","Hobart Road, Bryanston, Johannesburg, 2191","Johannesburg","Gauteng","","South Africa"," 0105911251","","","","","https://maps.google.com/?hl=en_US&cid=0x0:0xf27ec95161913c6c",""
